readed data
Epoch 140 Train cost: 3.67529209977 Validation cost: 3.59176824712,counter 3
Epoch 141 Train cost: 3.67221186209 Validation cost: 3.6246219206,counter 4
Epoch 142 Train cost: 3.66881425064Train mae: 2.66678002167 Validation cost: 3.44301933297 Validation mae 2.44152546946,counter 4 __best__ 
Epoch 143 Train cost: 3.66438271619 Validation cost: 3.76020066897,counter 1
Epoch 144 Train cost: 3.6670969425 Validation cost: 3.73816481598,counter 2
Epoch 145 Train cost: 3.66098832266 Validation cost: 3.58485475581,counter 3
Epoch 146 Train cost: 3.66188601867 Validation cost: 3.73228884534,counter 4
Epoch 147 Train cost: 3.65379216945 Validation cost: 3.58466808242,counter 5
Epoch 148 Train cost: 3.6510487564 Validation cost: 3.52886088066,counter 6
Epoch 149 Train cost: 3.65110793989 Validation cost: 3.63397911409,counter 7
Epoch 150 Train cost: 3.64668923206 Validation cost: 3.62136937655,counter 8
Epoch 151 Train cost: 3.64236212332 Validation cost: 3.71296943185,counter 9
Epoch 152 Train cost: 3.64395338793 Validation cost: 3.75725559814,counter 10
Epoch 153 Train cost: 3.63626982383 Validation cost: 3.55018454534,counter 11
Epoch 154 Train cost: 3.64328195838 Validation cost: 3.71706618694,counter 12
Epoch 155 Train cost: 3.63870187136 Validation cost: 3.67147457175,counter 13
Epoch 156 Train cost: 3.63410812483 Validation cost: 3.65213050664,counter 14
Epoch 157 Train cost: 3.63169394973 Validation cost: 3.65222146011,counter 15
Epoch 158 Train cost: 3.63574569365 Validation cost: 3.64358056809,counter 16
Epoch 159 Train cost: 3.62891860244 Validation cost: 3.47410051588,counter 17
Epoch 160 Train cost: 3.63329980807 Validation cost: 3.47889406687,counter 18
Epoch 161 Train cost: 3.62156047278 Validation cost: 3.67599986253,counter 19
Epoch 162 Train cost: 3.6289617178 Validation cost: 3.50065410129,counter 20
Epoch 163 Train cost: 3.63076171758 Validation cost: 3.6140457635,counter 21
Epoch 164 Train cost: 3.62566842025 Validation cost: 3.75093751018,counter 22
Epoch 165 Train cost: 3.62100747097 Validation cost: 3.62985688245,counter 23
Epoch 166 Train cost: 3.61886714393Train mae: 2.61387176142 Validation cost: 3.43365166532 Validation mae 2.42903937027,counter 23 __best__ 
Epoch 167 Train cost: 3.61409828995 Validation cost: 3.61527564133,counter 1
Epoch 168 Train cost: 3.62330727191 Validation cost: 3.73153110868,counter 2
Epoch 169 Train cost: 3.61274317337 Validation cost: 3.59746178275,counter 3
Epoch 170 Train cost: 3.61598035425 Validation cost: 3.64434950928,counter 4
Epoch 171 Train cost: 3.61969785906 Validation cost: 3.58089762448,counter 5
